pitcher,p_hand,pitch_type,pitch_name,velocity,spin_rate,horz_break,vert_break,release_x,release_z,extension,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az
453286,R,FF,4-Seam Fastball,96,2371,-0.7693,1.0091,-3.7459,4.9681,5.928,-0.9689,3.4438,8.9789,-139.4007,-0.658,-11.8984,31.3131,-19.3012
453286,R,SL,Slider,85.1,2277,0.0487,0.1426,-3.7147,5.1627,6.016,-1.1984,2.9022,5.7714,-123.7386,0.7102,-0.6189,23.8827,-31.0847
453286,R,FF,4-Seam Fastball,94.5,2330,-1.1704,0.8849,-3.6868,4.9507,5.948,0.0049,1.5112,12.0511,-136.9348,-5.1245,-17.1479,29.6844,-20.3046
453286,R,FF,4-Seam Fastball,95,2328,-0.8456,1.2695,-3.4167,5.322,6.107,1.2682,4.0149,14.0359,-137.6981,-0.5661,-13.6406,28.7486,-16.19
453286,R,FF,4-Seam Fastball,94.6,2351,-1.1809,1.1168,-3.5275,5.3242,6.072,-0.7144,2.3238,9.8725,-137.3316,-4.576,-16.9317,29.0421,-17.3871
453286,R,FF,4-Seam Fastball,95.8,2534,-0.8737,1.0479,-3.6107,4.8796,6.171,0.4398,3.0357,12.5781,-138.9023,-1.5791,-13.9843,30.0437,-18.5388
448306,R,KC,Knuckle Curve,77.3,2357,0.5465,-0.1696,-2.2169,6.0032,6.392,-0.7457,2.4582,2.1456,-112.649,-0.3418,4.2986,19.6318,-33.7686
607536,L,FF,4-Seam Fastball,92.4,2355,0.9776,1.2806,1.7277,5.8731,6.413,-0.653,2.0619,-8.2033,-134.2033,-6.6131,13.7004,32.0172,-15.4451
453286,R,CH,Changeup,86.7,1480,-1.249,0.3161,-3.4546,5.2142,6.187,0.05,2.0183,10.858,-125.8293,-2.0649,-15.3432,24.5362,-28.6383
607536,L,FF,4-Seam Fastball,93.2,2415,0.9529,1.3366,1.4863,5.9057,6.527,-1.422,2.2682,-9.6011,-135.3063,-6.4646,13.9954,32.6638,-14.4606
